Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2014,AL,Alabama,Demographics,Age,What is your age?,65+ years,Overall,Overall,"3,136",20.2,19.3,21.1,"1,354",%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,01,BO1,CAT1,AGE,RESP015,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Disability status,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",Yes,Overall,Overall,684,6.6,5.9,7.3,"2,380",%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,01,BO1,CAT1,BLIND,RESP046,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Disability status,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",No,Overall,Overall,"7,745",93.4,92.7,94.1,"2,381",%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,01,BO1,CAT1,BLIND,RESP054,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Disability status,"Do you have serious difficulty concentrating, remembering, or making decisions?",Yes,Overall,Overall,"1,429",16.4,15.3,17.5,"2,426",%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,01,BO1,CAT1,DECIDE,RESP046,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Disability status,"Do you have serious difficulty concentrating, remembering, or making decisions?",No,Overall,Overall,"6,965",83.6,82.5,84.7,"2,427",%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,01,BO1,CAT1,DECIDE,RESP054,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Disability status,Do you have difficulty doing errands alone?,Yes,Overall,Overall,"1,135",10.7,9.9,11.6,"2,564",%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,01,BO1,CAT1,DIFFALON,RESP046,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Disability status,Do you have difficulty doing errands alone?,No,Overall,Overall,"7,264",89.3,88.5,90.1,"2,565",%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,01,BO1,CAT1,DIFFALON,RESP054,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Disability status,Do you have difficulty dressing or bathing?,Yes,Overall,Overall,575,5.5,4.9,6.1,"2,518",%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,01,BO1,CAT1,DIFFDRES,RESP046,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Disability status,Do you have difficulty dressing or bathing?,No,Overall,Overall,"7,836",94.5,93.9,95.1,"2,519",%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,01,BO1,CAT1,DIFFDRES,RESP054,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Disability status,Do you have serious difficulty walking or climbing stairs?,Yes,Overall,Overall,"2,322",20.6,19.5,21.7,"2,472",%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,01,BO1,CAT1,DIFFWALK,RESP046,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Disability status,Do you have serious difficulty walking or climbing stairs?,No,Overall,Overall,"6,080",79.4,78.3,80.5,"2,473",%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,01,BO1,CAT1,DIFFWALK,RESP054,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Disability status,"Adults who are limited in any activities because of physical, mental, or emotional problems",Yes,Overall,Overall,"2,867",27.9,26.7,29.2,"2,288",%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,01,BO1,CAT1,QLACTLM2,RESP046,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Disability status,"Adults who are limited in any activities because of physical, mental, or emotional problems",No,Overall,Overall,"5,561",72.1,70.8,73.4,"2,289",%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,01,BO1,CAT1,QLACTLM2,RESP054,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Disability status,Adults with health problem(s) that requires the use of special equipment,Yes,Overall,Overall,"1,422",12.3,11.4,13.1,"2,334",%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,01,BO1,CAT1,USEEQUIP,RESP046,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Disability status,Adults with health problem(s) that requires the use of special equipment,No,Overall,Overall,"7,030",87.7,86.9,88.6,"2,335",%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,01,BO1,CAT1,USEEQUIP,RESP054,"(32.84057112200048, -86.63186076199969)"
2014,AR,Arkansas,Demographics,Sex,Gender of respondent,Male,Overall,Overall,"1,904",48.5,46.4,50.7,"2,082",%,Crude Prevalence,,,BRFSS,CLASS05,Topic51,05,BO1,CAT1,SEX,RESP001,"(34.74865012400045, -92.27449074299966)"
2014,AL,Alabama,Demographics,Education,What is the highest grade or year of school you completed?,Less than H.S.,Overall,Overall,"1,063",17.4,16.1,18.7,"1,727",%,Crude Prevalence,,,BRFSS,CLASS05,Topic21,01,BO1,CAT1,EDUCA,RESP021,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Education,What is the highest grade or year of school you completed?,H.S. or G.E.D.,Overall,Overall,"2,756",31,29.6,32.4,"1,728",%,Crude Prevalence,,,BRFSS,CLASS05,Topic21,01,BO1,CAT1,EDUCA,RESP022,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Education,What is the highest grade or year of school you completed?,Some post-H.S.,Overall,Overall,"2,470",31.2,29.8,32.6,"1,729",%,Crude Prevalence,,,BRFSS,CLASS05,Topic21,01,BO1,CAT1,EDUCA,RESP023,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Education,What is the highest grade or year of school you completed?,College+,Overall,Overall,"2,327",20.4,19.4,21.5,"1,730",%,Crude Prevalence,,,BRFSS,CLASS05,Topic21,01,BO1,CAT1,EDUCA,RESP024,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Employment,What is your employment status?,No work< yr,Overall,Overall,173,3,2.3,3.6,"1,810",%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,01,BO1,CAT1,EMPLOY1,RESP027,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Employment,What is your employment status?,No work >yr,Overall,Overall,231,3.2,2.6,3.7,"1,809",%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,01,BO1,CAT1,EMPLOY1,RESP028,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Employment,What is your employment status?,Student,Overall,Overall,173,4.3,3.5,5.1,"1,812",%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,01,BO1,CAT1,EMPLOY1,RESP030,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Employment,What is your employment status?,Retired,Overall,Overall,"2,731",18.4,17.5,19.3,"1,813",%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,01,BO1,CAT1,EMPLOY1,RESP031,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Employment,What is your employment status?,Unable to work,Overall,Overall,"1,378",13.6,12.6,14.5,"1,814",%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,01,BO1,CAT1,EMPLOY1,RESP032,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Employment,What is your employment status?,Employed,Overall,Overall,"2,840",43.6,42.1,45.1,"1,807",%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,01,BO1,CAT1,EMPLOY1,RESP137,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Employment,What is your employment status?,Homemaker,Overall,Overall,596,7.5,6.7,8.3,"1,811",%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,01,BO1,CAT1,EMPLOY1,RESP141,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Employment,What is your employment status?,Self-employed,Overall,Overall,473,6.5,5.7,7.3,"1,808",%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,01,BO1,CAT1,EMPLOY1,RESP172,"(32.84057112200048, -86.63186076199969)"
2014,AR,Arkansas,Demographics,Sex,Gender of respondent,Female,Overall,Overall,"3,354",51.5,49.3,53.6,"2,083",%,Crude Prevalence,,,BRFSS,CLASS05,Topic51,05,BO1,CAT1,SEX,RESP002,"(34.74865012400045, -92.27449074299966)"
2014,AL,Alabama,Demographics,Income,What is your annual household income?,"Less than $15,000",Overall,Overall,"1,162",14.8,13.6,16,"1,988",%,Crude Prevalence,,,BRFSS,CLASS05,Topic33,01,BO1,CAT1,INCOME,RESP016,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Income,What is your annual household income?,"$15,000 - 24,999",Overall,Overall,"1,451",20.2,18.8,21.5,"1,989",%,Crude Prevalence,,,BRFSS,CLASS05,Topic33,01,BO1,CAT1,INCOME,RESP017,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Income,What is your annual household income?,"$25,000 - 34,999",Overall,Overall,804,11.7,10.5,12.9,"1,990",%,Crude Prevalence,,,BRFSS,CLASS05,Topic33,01,BO1,CAT1,INCOME,RESP018,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Income,What is your annual household income?,"$35,000 -  49,999",Overall,Overall,"1,016",14.6,13.5,15.8,"1,991",%,Crude Prevalence,,,BRFSS,CLASS05,Topic33,01,BO1,CAT1,INCOME,RESP019,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Income,What is your annual household income?,"$50,000+",Overall,Overall,"2,464",38.8,37.1,40.4,"1,992",%,Crude Prevalence,,,BRFSS,CLASS05,Topic33,01,BO1,CAT1,INCOME,RESP020,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Internet,Have you used the internet in the past 30 days?,Yes,Overall,Overall,"5,756",75.6,74.4,76.8,"2,173",%,Crude Prevalence,,,BRFSS,CLASS05,Topic34,01,BO1,CAT1,INTERNET,RESP046,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Internet,Have you used the internet in the past 30 days?,No,Overall,Overall,"2,771",24.4,23.2,25.6,"2,174",%,Crude Prevalence,,,BRFSS,CLASS05,Topic34,01,BO1,CAT1,INTERNET,RESP054,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Marital Status,What is your marital status?,Married,Overall,Overall,"4,275",51,49.5,52.5,"1,457",%,Crude Prevalence,,,BRFSS,CLASS05,Topic38,01,BO1,CAT1,MARITAL,RESP033,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Marital Status,What is your marital status?,Divorced,Overall,Overall,"1,304",12.1,11.2,13,"1,458",%,Crude Prevalence,,,BRFSS,CLASS05,Topic38,01,BO1,CAT1,MARITAL,RESP034,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Marital Status,What is your marital status?,Widowed,Overall,Overall,"1,457",8.6,8,9.2,"1,459",%,Crude Prevalence,,,BRFSS,CLASS05,Topic38,01,BO1,CAT1,MARITAL,RESP035,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Marital Status,What is your marital status?,Separated,Overall,Overall,277,3,2.5,3.6,"1,460",%,Crude Prevalence,,,BRFSS,CLASS05,Topic38,01,BO1,CAT1,MARITAL,RESP036,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Marital Status,What is your marital status?,Never married,Overall,Overall,"1,188",23,21.6,24.5,"1,461",%,Crude Prevalence,,,BRFSS,CLASS05,Topic38,01,BO1,CAT1,MARITAL,RESP037,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Marital Status,What is your marital status?,Partnered,Overall,Overall,109,2.2,1.7,2.8,"1,462",%,Crude Prevalence,,,BRFSS,CLASS05,Topic38,01,BO1,CAT1,MARITAL,RESP038,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Five or more children,Overall,Overall,22,0.5,0.2,0.7,"1,598",%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,01,BO1,CAT1,_CHLDCNT,RESP090,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Four children,Overall,Overall,102,1.7,1.3,2.1,"1,597",%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,01,BO1,CAT1,_CHLDCNT,RESP091,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Three children,Overall,Overall,255,5,4.2,5.8,"1,596",%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,01,BO1,CAT1,_CHLDCNT,RESP092,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Two children,Overall,Overall,681,12,10.9,13.1,"1,595",%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,01,BO1,CAT1,_CHLDCNT,RESP093,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),One child,Overall,Overall,946,15.2,14,16.4,"1,594",%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,01,BO1,CAT1,_CHLDCNT,RESP094,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),None,Overall,Overall,"6,614",65.7,64.1,67.2,"1,593",%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,01,BO1,CAT1,_CHLDCNT,RESP095,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Race,What is your race/ethnicity?,White,Overall,Overall,"6,026",68.2,66.7,69.7,"1,254",%,Crude Prevalence,,,BRFSS,CLASS05,Topic48,01,BO1,CAT1,RACE,RESP005,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Race,What is your race/ethnicity?,Black,Overall,Overall,"2,176",25.2,23.9,26.6,"1,255",%,Crude Prevalence,,,BRFSS,CLASS05,Topic48,01,BO1,CAT1,RACE,RESP006,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Race,What is your race/ethnicity?,MultiRacial,Overall,Overall,94,0.9,0.7,1.2,"1,258",%,Crude Prevalence,,,BRFSS,CLASS05,Topic48,01,BO1,CAT1,RACE,RESP008,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Race,What is your race/ethnicity?,Other,Overall,Overall,189,2.5,1.9,3.1,"1,257",%,Crude Prevalence,,,BRFSS,CLASS05,Topic48,01,BO1,CAT1,RACE,RESP009,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Race,What is your race/ethnicity?,Hispanic,Overall,Overall,77,3.2,2.3,4,"1,256",%,Crude Prevalence,,,BRFSS,CLASS05,Topic48,01,BO1,CAT1,RACE,RESP007,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Rent/Own Home,Do you own or rent your home?,Own,Overall,Overall,"6,259",72.3,70.9,73.7,"2,219",%,Crude Prevalence,,,BRFSS,CLASS05,Topic49,01,BO1,CAT1,RENTHOM1,RESP003,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Rent/Own Home,Do you own or rent your home?,Rent,Overall,Overall,"1,602",19.4,18.2,20.6,"2,220",%,Crude Prevalence,,,BRFSS,CLASS05,Topic49,01,BO1,CAT1,RENTHOM1,RESP004,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Rent/Own Home,Do you own or rent your home?,Other,Overall,Overall,583,8.2,7.3,9.2,"2,221",%,Crude Prevalence,,,BRFSS,CLASS05,Topic49,01,BO1,CAT1,RENTHOM1,RESP009,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Sex,Gender of respondent,Male,Overall,Overall,"3,115",47.8,46.3,49.3,"2,083",%,Crude Prevalence,,,BRFSS,CLASS05,Topic51,01,BO1,CAT1,SEX,RESP001,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Sex,Gender of respondent,Female,Overall,Overall,"5,537",52.2,50.7,53.7,"2,084",%,Crude Prevalence,,,BRFSS,CLASS05,Topic51,01,BO1,CAT1,SEX,RESP002,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Veteran Status,Have you ever served on active duty in the United States Armed Forces?,Yes,Overall,Overall,"1,180",13.1,12.1,14.1,"2,127",%,Crude Prevalence,,,BRFSS,CLASS05,Topic61,01,BO1,CAT1,VETERAN3,RESP046,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Veteran Status,Have you ever served on active duty in the United States Armed Forces?,No,Overall,Overall,"7,462",86.9,86,87.9,"2,128",%,Crude Prevalence,,,BRFSS,CLASS05,Topic61,01,BO1,CAT1,VETERAN3,RESP054,"(32.84057112200048, -86.63186076199969)"
2014,AK,Alaska,Demographics,Age,What is your age?,18-24 years,Overall,Overall,245,14.1,12.3,15.9,"1,341",%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,02,BO1,CAT1,AGE,RESP010,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Age,What is your age?,25-34 years,Overall,Overall,557,20,18.2,21.7,"1,342",%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,02,BO1,CAT1,AGE,RESP011,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Age,What is your age?,35-44 years,Overall,Overall,643,16.8,15.2,18.5,"1,343",%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,02,BO1,CAT1,AGE,RESP012,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Age,What is your age?,45-54 years,Overall,Overall,886,18.2,16.8,19.7,"1,344",%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,02,BO1,CAT1,AGE,RESP013,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Age,What is your age?,55-64 years,Overall,Overall,"1,069",17.7,16.2,19.1,"1,345",%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,02,BO1,CAT1,AGE,RESP014,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Age,What is your age?,65+ years,Overall,Overall,988,13.3,12.2,14.3,"1,346",%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,02,BO1,CAT1,AGE,RESP015,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Disability status,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",Yes,Overall,Overall,164,2.7,2.2,3.3,"2,375",%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,02,BO1,CAT1,BLIND,RESP046,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Disability status,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",No,Overall,Overall,"4,093",97.3,96.8,97.8,"2,376",%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,02,BO1,CAT1,BLIND,RESP054,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Disability status,"Do you have serious difficulty concentrating, remembering, or making decisions?",Yes,Overall,Overall,295,7.5,6.3,8.7,"2,421",%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,02,BO1,CAT1,DECIDE,RESP046,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Disability status,"Do you have serious difficulty concentrating, remembering, or making decisions?",No,Overall,Overall,"3,951",92.5,91.3,93.7,"2,422",%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,02,BO1,CAT1,DECIDE,RESP054,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Disability status,Do you have difficulty doing errands alone?,Yes,Overall,Overall,224,4.6,3.7,5.6,"2,559",%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,02,BO1,CAT1,DIFFALON,RESP046,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Disability status,Do you have difficulty doing errands alone?,No,Overall,Overall,"4,028",95.4,94.4,96.3,"2,560",%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,02,BO1,CAT1,DIFFALON,RESP054,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Disability status,Do you have difficulty dressing or bathing?,Yes,Overall,Overall,151,2.8,2.2,3.5,"2,513",%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,02,BO1,CAT1,DIFFDRES,RESP046,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Disability status,Do you have difficulty dressing or bathing?,No,Overall,Overall,"4,100",97.2,96.6,97.9,"2,514",%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,02,BO1,CAT1,DIFFDRES,RESP054,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Disability status,Do you have serious difficulty walking or climbing stairs?,Yes,Overall,Overall,508,9.1,8,10.2,"2,467",%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,02,BO1,CAT1,DIFFWALK,RESP046,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Disability status,Do you have serious difficulty walking or climbing stairs?,No,Overall,Overall,"3,742",90.9,89.8,92,"2,468",%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,02,BO1,CAT1,DIFFWALK,RESP054,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Disability status,"Adults who are limited in any activities because of physical, mental, or emotional problems",Yes,Overall,Overall,995,19.3,17.7,20.9,"2,283",%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,02,BO1,CAT1,QLACTLM2,RESP046,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Disability status,"Adults who are limited in any activities because of physical, mental, or emotional problems",No,Overall,Overall,"3,267",80.7,79.1,82.3,"2,284",%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,02,BO1,CAT1,QLACTLM2,RESP054,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Disability status,Adults with health problem(s) that requires the use of special equipment,Yes,Overall,Overall,391,6.8,5.9,7.7,"2,329",%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,02,BO1,CAT1,USEEQUIP,RESP046,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Disability status,Adults with health problem(s) that requires the use of special equipment,No,Overall,Overall,"3,875",93.2,92.3,94.2,"2,330",%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,02,BO1,CAT1,USEEQUIP,RESP054,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Employment,What is your employment status?,Homemaker,Overall,Overall,268,6,5.1,7,"1,806",%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,02,BO1,CAT1,EMPLOY1,RESP141,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Employment,What is your employment status?,Self-employed,Overall,Overall,424,8.8,7.7,9.9,"1,803",%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,02,BO1,CAT1,EMPLOY1,RESP172,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Education,What is the highest grade or year of school you completed?,Less than H.S.,Overall,Overall,232,9.7,8.1,11.2,"1,722",%,Crude Prevalence,,,BRFSS,CLASS05,Topic21,02,BO1,CAT1,EDUCA,RESP021,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Education,What is the highest grade or year of school you completed?,H.S. or G.E.D.,Overall,Overall,"1,119",28.3,26.4,30.2,"1,723",%,Crude Prevalence,,,BRFSS,CLASS05,Topic21,02,BO1,CAT1,EDUCA,RESP022,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Education,What is the highest grade or year of school you completed?,Some post-H.S.,Overall,Overall,"1,289",37.9,35.8,40,"1,724",%,Crude Prevalence,,,BRFSS,CLASS05,Topic21,02,BO1,CAT1,EDUCA,RESP023,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Education,What is the highest grade or year of school you completed?,College+,Overall,Overall,"1,706",24.1,22.6,25.6,"1,725",%,Crude Prevalence,,,BRFSS,CLASS05,Topic21,02,BO1,CAT1,EDUCA,RESP024,"(64.84507995700051, -147.72205903599973)"
